'Test Type,Test Description
0,
'Version
1.1.0
'Time Stamp
2016-01-30 16:40:49:732
'Access specifications
'Access specification name,default assignment
All in one,0
'size,% of size,% reads,% random,delay,burst,align,reply
512,4,100,0,0,1,0,0,
512,4,75,0,0,1,0,0,
512,4,50,0,0,1,0,0,
512,4,25,0,0,1,0,0,
512,4,0,0,0,1,0,0,
4096,4,100,0,0,1,0,0,
4096,4,75,0,0,1,0,0,
4096,4,50,0,0,1,0,0,
4096,4,25,0,0,1,0,0,
4096,4,0,0,0,1,0,0,
4096,4,100,100,0,1,4096,0,
4096,4,50,100,0,1,4096,0,
4096,4,0,100,0,1,4096,0,
16384,3,100,0,0,1,0,0,
16384,3,75,0,0,1,0,0,
16384,3,50,0,0,1,0,0,
16384,3,25,0,0,1,0,0,
16384,3,0,0,0,1,0,0,
32768,3,100,0,0,1,0,0,
32768,3,75,0,0,1,0,0,
32768,3,50,0,0,1,0,0,
32768,3,25,0,0,1,0,0,
32768,3,0,0,0,1,0,0,
65536,3,100,0,0,1,0,0,
65536,3,50,0,0,1,0,0,
65536,3,0,0,0,1,0,0,
262144,3,100,0,0,1,0,0,
262144,3,50,0,0,1,0,0,
262144,3,0,0,0,1,0,0,
'End access specifications
'Results
'Target Type,Target Name,Access Specification Name,# Managers,# Workers,# Disks,IOps,Read IOps,Write IOps,MiBps (Binary),Read MiBps (Binary),Write MiBps (Binary),MBps (Decimal),Read MBps (Decimal),Write MBps (Decimal),Transactions per Second,Connections per Second,Average Response Time,Average Read Response Time,Average Write Response Time,Average Transaction Time,Average Connection Time,Maximum Response Time,Maximum Read Response Time,Maximum Write Response Time,Maximum Transaction Time,Maximum Connection Time,Errors,Read Errors,Write Errors,Bytes Read,Bytes Written,Read I/Os,Write I/Os,Connections,Transactions per Connection,Total Raw Read Response Time,Total Raw Write Response Time,Total Raw Transaction Time,Total Raw Connection Time,Maximum Raw Read Response Time,Maximum Raw Write Response Time,Maximum Raw Transaction Time,Maximum Raw Connection Time,Total Raw Run Time,Starting Sector,Maximum Size,Queue Depth,% CPU Utilization,% User Time,% Privileged Time,% DPC Time,% Interrupt Time,Processor Speed,Interrupts per Second,CPU Effectiveness,Packets/Second,Packet Errors,Segments Retransmitted/Second,0 to 50 uS,50 to 100 uS,100 to 200 uS,200 to 500 uS,0.5 to 1 mS,1 to 2 mS,2 to 5 mS,5 to 10 mS,10 to 15 mS,15 to 20 mS,20 to 30 mS,30 to 50 mS,50 to 100 mS,100 to 200 mS,200 to 500 mS,0.5 to 1 S,1 to 2 s,2 to 4.7 s,4.7 to 5 s,5 to 10 s, >= 10 s
ALL,All,All in one,1,10,20,131.661015,65.788440,65.872575,4.801481,2.412462,2.389019,5.034717,2.529650,2.505068,131.661015,0.000000,151.894058,119.275773,184.470679,151.894058,0.000000,3230.718679,783.112305,3230.718679,3230.718679,0.000000,0,0,0,4359298560,4316936704,113372,113517,0,-1,,,,,,,,,,0,0,1,3.805884,2.917000,0.916098,0.097732,0.038322,,3003.260492,34.594073,35.169445,0.000000,0.521867,0,0,0,19,33,51,146,347,691,1091,3500,15719,95125,69898,26332,13179,744,14,0,0,0
MANAGER,Z3-372,All in one,,10,20,131.661015,65.788440,65.872575,4.801481,2.412462,2.389019,5.034717,2.529650,2.505068,131.661015,0.000000,151.894058,119.275773,184.470679,151.894058,0.000000,3230.718679,783.112305,3230.718679,3230.718679,0.000000,0,0,0,4359298560,4316936704,113372,113517,0,-1,42162270487,65291131305,107453401792,0,2441687,10073145,10073145,0,5373236732,0,0,1,3.805884,2.917000,0.916098,0.097732,0.038322,3117927.000000,3003.260492,34.594073,35.169445,0.000000,0.521867,0,0,0,19,33,51,146,347,691,1091,3500,15719,95125,69898,26332,13179,744,14,0,0,0
PROCESSOR,CPU 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.158037,3.189109,0.995916,0.272108,0.104308,3117927.000000,975.729342,,,,
PROCESSOR,CPU 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.305882,3.212691,1.120179,0.056236,0.020862,3117927.000000,704.801838,,,,
PROCESSOR,CPU 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.204295,3.453054,0.778230,0.044444,0.015419,3117927.000000,664.260468,,,,
PROCESSOR,CPU 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.555319,1.813148,0.770066,0.018141,0.012698,3117927.000000,658.468844,,,,
WORKER,Worker 1,All in one,,,2,13.217789,6.596998,6.620791,0.477597,0.238324,0.239273,0.500797,0.249901,0.250896,13.217789,0.000000,151.287660,118.907886,183.551071,151.287660,0.000000,3127.334925,722.207415,3127.334925,3127.334925,0.000000,0,0,0,430630912,432346112,11368,11409,0,-1,4214641773,6529357484,10743999257,0,2251790,9750802,9750802,0,5372836955,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,1,3,4,10,39,68,106,364,1608,9545,6971,2685,1308,63,2,0,0,0
DISK,C: "",,,,,4.334358,2.148319,2.186039,0.156590,0.079696,0.076893,0.164196,0.083568,0.080628,4.334358,0.000000,230.640291,123.122456,336.302894,230.640291,0.000000,3127.334925,722.207415,3127.334925,3127.334925,0.000000,0,0,0,144004608,138939392,3702,3767,0,-1,4214641773,6529357484,10743999257,0,2251790,9750802,9750802,0,5372836955,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,1,3,4,10,39,68,106,364,1608,9545,6971,2685,1308,63,2,0,0,0
DISK,D: "",,,,,8.883431,4.448679,4.434752,0.321007,0.158627,0.162380,0.336601,0.166333,0.170268,8.883431,0.000000,112.570335,116.872622,108.254537,112.570335,0.000000,716.641538,716.641538,706.570423,716.641538,0.000000,0,0,0,286626304,293406720,7666,7642,0,-1,4214641773,6529357484,10743999257,0,2251790,9750802,9750802,0,5372836955,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,1,3,4,10,39,68,106,364,1608,9545,6971,2685,1308,63,2,0,0,0
WORKER,Worker 1,All in one,,,2,13.269777,6.709164,6.560613,0.482747,0.243087,0.239660,0.506197,0.254895,0.251302,13.269777,0.000000,150.709847,119.106488,183.028797,150.709847,0.000000,3230.718679,762.300721,3230.718679,3230.718679,0.000000,0,0,0,439264768,433071616,11562,11306,0,-1,4293726001,6451999850,10745725851,0,2376798,10073145,10073145,0,5373169026,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,0,2,4,15,37,66,102,361,1609,9547,7109,2657,1291,66,2,0,0,0
DISK,C: "",,,,,4.395599,2.216078,2.179521,0.159518,0.081486,0.078032,0.167266,0.085444,0.081822,4.395599,0.000000,227.480551,120.902254,335.846504,227.480551,0.000000,3230.718679,762.300721,3230.718679,3230.718679,0.000000,0,0,0,147246592,141005824,3819,3756,0,-1,4293726001,6451999850,10745725851,0,2376798,10073145,10073145,0,5373169026,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,0,2,4,15,37,66,102,361,1609,9547,7109,2657,1291,66,2,0,0,0
DISK,D: "",,,,,8.874178,4.493086,4.381092,0.323229,0.161602,0.161628,0.338931,0.169451,0.169479,8.874178,0.000000,112.683425,118.220781,107.004518,112.683425,0.000000,719.806461,719.806461,716.180334,719.806461,0.000000,0,0,0,292018176,292065792,7743,7550,0,-1,4293726001,6451999850,10745725851,0,2376798,10073145,10073145,0,5373169026,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,0,2,4,15,37,66,102,361,1609,9547,7109,2657,1291,66,2,0,0,0
WORKER,Worker 1,All in one,,,2,13.079459,6.485764,6.593695,0.474296,0.236323,0.237973,0.497335,0.247803,0.249532,13.079459,0.000000,152.900688,119.368870,185.883627,152.900688,0.000000,3127.775923,765.327091,3127.775923,3127.775923,0.000000,0,0,0,427041792,430022144,11177,11363,0,-1,4159894103,6585671855,10745565958,0,2386234,9752177,9752177,0,5373163644,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,2,4,5,12,35,71,122,347,1553,9432,6954,2576,1339,87,1,0,0,0
DISK,C: "",,,,,4.182061,2.044899,2.137163,0.146371,0.072289,0.074082,0.153481,0.075801,0.077681,4.182061,0.000000,239.088201,120.678760,352.385749,239.088201,0.000000,3127.775923,765.327091,3127.775923,3127.775923,0.000000,0,0,0,130628096,133868544,3524,3683,0,-1,4159894103,6585671855,10745565958,0,2386234,9752177,9752177,0,5373163644,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,2,4,5,12,35,71,122,347,1553,9432,6954,2576,1339,87,1,0,0,0
DISK,D: "",,,,,8.897398,4.440865,4.456533,0.327924,0.164034,0.163890,0.343854,0.172002,0.171851,8.897398,0.000000,112.389803,118.765700,106.036320,112.389803,0.000000,730.752837,730.752837,684.538156,730.752837,0.000000,0,0,0,296413696,296153600,7653,7680,0,-1,4159894103,6585671855,10745565958,0,2386234,9752177,9752177,0,5373163644,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,2,4,5,12,35,71,122,347,1553,9432,6954,2576,1339,87,1,0,0,0
WORKER,Worker 1,All in one,,,2,13.135740,6.565259,6.570481,0.482041,0.245895,0.236146,0.505457,0.257840,0.247617,13.135740,0.000000,152.249944,119.380431,185.093330,152.249944,0.000000,2909.257657,743.266279,2909.257657,2909.257657,0.000000,0,0,0,444339200,426721280,11314,11323,0,-1,4211291077,6534588132,10745879209,0,2317450,9070853,9070853,0,5373166209,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,5,2,7,12,42,49,119,356,1560,9468,7001,2621,1318,76,1,0,0,0
DISK,C: "",,,,,4.269681,2.118013,2.151669,0.158709,0.080035,0.078674,0.166418,0.083923,0.082495,4.269681,0.000000,234.198952,121.960515,344.681771,234.198952,0.000000,2909.257657,708.325435,2909.257657,2909.257657,0.000000,0,0,0,144625152,142165504,3650,3708,0,-1,4211291077,6534588132,10745879209,0,2317450,9070853,9070853,0,5373166209,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,5,2,7,12,42,49,119,356,1560,9468,7001,2621,1318,76,1,0,0,0
DISK,D: "",,,,,8.866059,4.447246,4.418813,0.323332,0.165860,0.157472,0.339039,0.173917,0.165121,8.866059,0.000000,112.785267,118.151659,107.384343,112.785267,0.000000,743.266279,743.266279,723.681792,743.266279,0.000000,0,0,0,299714048,284555776,7664,7615,0,-1,4211291077,6534588132,10745879209,0,2317450,9070853,9070853,0,5373166209,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,5,2,7,12,42,49,119,356,1560,9468,7001,2621,1318,76,1,0,0,0
WORKER,Worker 1,All in one,,,2,13.144809,6.542229,6.602580,0.479016,0.238837,0.240179,0.502285,0.250438,0.251846,13.144809,0.000000,152.141256,120.528492,183.465065,152.141256,0.000000,3081.051609,766.591072,3081.051609,3081.051609,0.000000,0,0,0,431571968,433998336,11274,11378,0,-1,4236758361,6508565083,10745323444,0,2390175,9606494,9606494,0,5373017183,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,2,1,8,18,42,75,92,348,1527,9505,6969,2661,1339,63,2,0,0,0
DISK,C: "",,,,,4.266898,2.090217,2.176681,0.155602,0.076685,0.078917,0.163160,0.080410,0.082751,4.266898,0.000000,234.339703,122.925796,341.327946,234.339703,0.000000,3081.051609,766.591072,3081.051609,3081.051609,0.000000,0,0,0,138567168,142601216,3602,3751,0,-1,4236758361,6508565083,10745323444,0,2390175,9606494,9606494,0,5373017183,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,2,1,8,18,42,75,92,348,1527,9505,6969,2661,1339,63,2,0,0,0
DISK,D: "",,,,,8.877910,4.452012,4.425899,0.323414,0.162152,0.161262,0.339125,0.170029,0.169096,8.877910,0.000000,112.635067,119.402959,105.827244,112.635067,0.000000,723.106731,723.106731,712.559018,723.106731,0.000000,0,0,0,293004800,291397120,7672,7627,0,-1,4236758361,6508565083,10745323444,0,2390175,9606494,9606494,0,5373017183,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,2,1,8,18,42,75,92,348,1527,9505,6969,2661,1339,63,2,0,0,0
WORKER,Worker 1,All in one,,,2,13.160690,6.524058,6.636632,0.485177,0.238972,0.246205,0.508745,0.250580,0.258165,13.160690,0.000000,151.956215,118.821933,184.528457,151.956215,0.000000,2922.783632,736.012742,2922.783632,2922.783632,0.000000,0,0,0,431828480,444899328,11243,11437,0,-1,4165285413,6580235155,10745520568,0,2294834,9113026,9113026,0,5373167003,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,3,5,2,15,32,74,104,356,1578,9521,6981,2596,1329,83,1,0,0,0
DISK,C: "",,,,,4.288249,2.144125,2.144125,0.160244,0.080652,0.079591,0.168028,0.084570,0.083458,4.288249,0.000000,233.169026,122.846741,343.491310,233.169026,0.000000,2922.783632,721.126569,2922.783632,2922.783632,0.000000,0,0,0,145740288,143823872,3695,3695,0,-1,4165285413,6580235155,10745520568,0,2294834,9113026,9113026,0,5373167003,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,3,5,2,15,32,74,104,356,1578,9521,6981,2596,1329,83,1,0,0,0
DISK,D: "",,,,,8.872440,4.379933,4.492507,0.324934,0.158320,0.166614,0.340718,0.166010,0.174707,8.872440,0.000000,112.704241,116.851653,108.660756,112.704241,0.000000,736.012742,736.012742,723.685641,736.012742,0.000000,0,0,0,286088192,301075456,7548,7742,0,-1,4165285413,6580235155,10745520568,0,2294834,9113026,9113026,0,5373167003,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,3,5,2,15,32,74,104,356,1578,9521,6981,2596,1329,83,1,0,0,0
WORKER,Worker 1,All in one,,,2,13.192752,6.603049,6.589703,0.486751,0.248433,0.238318,0.510396,0.260501,0.249894,13.192752,0.000000,151.574438,120.099171,183.113453,151.574438,0.000000,3033.589625,782.166484,3033.589625,3033.589625,0.000000,0,0,0,448920576,430641664,11379,11356,0,-1,4260985448,6483530801,10744516249,0,2438738,9458511,9458511,0,5373107087,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,2,6,3,21,32,65,113,346,1551,9478,7109,2640,1294,74,1,0,0,0
DISK,C: "",,,,,4.303965,2.143568,2.160397,0.159066,0.082237,0.076829,0.166793,0.086232,0.080561,4.303965,0.000000,232.284194,122.177600,341.533122,232.284194,0.000000,3033.589625,782.166484,3033.589625,3033.589625,0.000000,0,0,0,148603392,138830336,3694,3723,0,-1,4260985448,6483530801,10744516249,0,2438738,9458511,9458511,0,5373107087,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,2,6,3,21,32,65,113,346,1551,9478,7109,2640,1294,74,1,0,0,0
DISK,D: "",,,,,8.888787,4.459481,4.429306,0.327685,0.166196,0.161489,0.343603,0.174269,0.169333,8.888787,0.000000,112.494645,119.100119,105.844171,112.494645,0.000000,729.697328,729.697328,688.144078,729.697328,0.000000,0,0,0,300317184,291811328,7685,7633,0,-1,4260985448,6483530801,10744516249,0,2438738,9458511,9458511,0,5373107087,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,2,6,3,21,32,65,113,346,1551,9478,7109,2640,1294,74,1,0,0,0
WORKER,Worker 1,All in one,,,2,13.161862,6.591376,6.570486,0.479697,0.244630,0.235067,0.502999,0.256513,0.246486,13.161862,0.000000,151.948640,118.938436,185.063796,151.948640,0.000000,3014.222270,758.759265,3014.222270,3014.222270,0.000000,0,0,0,442052608,424772096,11359,11323,0,-1,4212387015,6533545440,10745932455,0,2365756,9398125,9398125,0,5373162338,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,2,6,8,14,25,68,115,338,1598,9534,6961,2609,1328,75,1,0,0,0
DISK,C: "",,,,,4.278388,2.144707,2.133682,0.156714,0.078352,0.078362,0.164327,0.082158,0.082169,4.278388,0.000000,233.722319,120.949842,347.077521,233.722319,0.000000,3014.222270,758.759265,3014.222270,3014.222270,0.000000,0,0,0,141584384,141602304,3696,3677,0,-1,4212387015,6533545440,10745932455,0,2365756,9398125,9398125,0,5373162338,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,2,6,8,14,25,68,115,338,1598,9534,6961,2609,1328,75,1,0,0,0
DISK,D: "",,,,,8.883473,4.446669,4.436804,0.322983,0.166278,0.156705,0.338672,0.174355,0.164317,8.883473,0.000000,112.565445,117.968299,107.150578,112.565445,0.000000,751.799192,713.028560,751.799192,751.799192,0.000000,0,0,0,300468224,283169792,7663,7646,0,-1,4212387015,6533545440,10745932455,0,2365756,9398125,9398125,0,5373162338,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,2,6,8,14,25,68,115,338,1598,9534,6961,2609,1328,75,1,0,0,0
WORKER,Worker 1,All in one,,,2,13.146903,6.612914,6.533989,0.481540,0.243204,0.238336,0.504932,0.255018,0.249913,13.146903,0.000000,152.125956,119.364285,185.283362,152.125956,0.000000,3017.841341,714.315313,3017.841341,3017.841341,0.000000,0,0,0,439433216,430636544,11395,11259,0,-1,4240867205,6504324281,10745191486,0,2227183,9409409,9409409,0,5372635369,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,2,3,6,18,34,85,121,328,1546,9569,6916,2613,1332,79,2,0,0,0
DISK,C: "",,,,,4.264880,2.164068,2.100812,0.153155,0.076309,0.076846,0.160595,0.080016,0.080579,4.264880,0.000000,234.478264,123.228308,349.078011,234.478264,0.000000,3017.841341,700.339039,3017.841341,3017.841341,0.000000,0,0,0,137879552,138848768,3729,3620,0,-1,4240867205,6504324281,10745191486,0,2227183,9409409,9409409,0,5372635369,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,2,3,6,18,34,85,121,328,1546,9569,6916,2613,1332,79,2,0,0,0
DISK,D: "",,,,,8.882023,4.448846,4.433177,0.328385,0.166895,0.161490,0.344337,0.175002,0.169335,8.882023,0.000000,112.582858,117.484694,107.663696,112.582858,0.000000,720.777940,714.315313,720.777940,720.777940,0.000000,0,0,0,301553664,291787776,7666,7639,0,-1,4240867205,6504324281,10745191486,0,2227183,9409409,9409409,0,5372635369,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,2,3,6,18,34,85,121,328,1546,9569,6916,2613,1332,79,2,0,0,0
WORKER,Worker 1,All in one,,,2,13.151235,6.557629,6.593606,0.472617,0.234756,0.237862,0.495575,0.246159,0.249416,13.151235,0.000000,152.066699,118.244704,185.704152,152.066699,0.000000,3128.227826,783.112305,3128.227826,3128.227826,0.000000,0,0,0,424215040,429827584,11301,11363,0,-1,4166434091,6579313224,10745747315,0,2441687,9753586,9753586,0,5373236732,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,0,1,4,11,29,70,97,356,1589,9526,6927,2674,1301,78,1,0,0,0
DISK,C: "",,,,,4.274267,2.140035,2.134232,0.153234,0.075804,0.077430,0.160677,0.079486,0.081191,4.274267,0.000000,233.931898,121.569888,346.599406,233.931898,0.000000,3128.227826,783.112305,3128.227826,3128.227826,0.000000,0,0,0,136980992,139919872,3688,3678,0,-1,4166434091,6579313224,10745747315,0,2441687,9753586,9753586,0,5373236732,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,0,1,4,11,29,70,97,356,1589,9526,6927,2674,1301,78,1,0,0,0
DISK,D: "",,,,,8.876967,4.417594,4.459373,0.319384,0.158952,0.160432,0.334898,0.166673,0.168225,8.876967,0.000000,112.648536,116.633870,108.700541,112.648536,0.000000,708.420050,708.420050,706.733993,708.420050,0.000000,0,0,0,287234048,289907712,7613,7685,0,-1,4166434091,6579313224,10745747315,0,2441687,9753586,9753586,0,5373236732,0,0,1,,,,,,3117927.000000,,,,,,0,0,0,0,1,4,11,29,70,97,356,1589,9526,6927,2674,1301,78,1,0,0,0
'Time Stamp
2016-01-30 17:09:38:498
'End Test
